cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env093_BUILT,0,0.02743219438546074,ACE,0.1275114185093359
social_1_S042_Pdens,alt_LandUse_1_Env093_BUILT,1,0.6923828544120614,ACE,0.6969100835612039
social_1_S007_EGR,alt_LandUse_1_Env093_BUILT,2,-0.008553064781784692,ACE,0.10010093721448365
social_1_S013_IME,alt_LandUse_1_Env093_BUILT,3,0.0058517228504584295,ACE,0.05518887119940086
social_1_S015_ODI,alt_LandUse_1_Env093_BUILT,4,0.2342571166474648,ACE,0.3517719849823874
Topography_Env104_MGU_litt,alt_LandUse_1_Env093_BUILT,5,0.37656678052229425,ACE,0.3980381322005214
social_1_S003_MsR,alt_LandUse_1_Env093_BUILT,6,-1.389804309526177E-6,ACE,0.001287491577366795
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env093_BUILT,7,0.12537614696322374,ACE,0.17409595772749575
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env093_BUILT,8,0.03993276171256677,ACE,0.06201685486945252
social_1_S040_Tbnatalidad,alt_LandUse_1_Env093_BUILT,9,0.002056350632143489,ACE,0.018140046555958134
social_1_S036_Tbmortalid,alt_LandUse_1_Env093_BUILT,10,0.00175042222471411,ACE,0.017525279832590557
