cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env093_BUILT,0,0.05077776343449254,PNS,0.17313211820829594
social_1_S042_Pdens,alt_LandUse_1_Env093_BUILT,1,0.692382931071283,PNS,0.7382292430171941
social_1_S007_EGR,alt_LandUse_1_Env093_BUILT,2,0.03992273994245174,PNS,0.1424414109218499
social_1_S013_IME,alt_LandUse_1_Env093_BUILT,3,0.034548659907333586,PNS,0.08988414736938108
social_1_S015_ODI,alt_LandUse_1_Env093_BUILT,4,0.2601840519003315,PNS,0.3837847619570758
Topography_Env104_MGU_litt,alt_LandUse_1_Env093_BUILT,5,0.40759864235945864,PNS,0.530740121699508
social_1_S003_MsR,alt_LandUse_1_Env093_BUILT,6,0.0011928944218251027,PNS,0.01722315086043897
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env093_BUILT,7,0.14285598931094598,PNS,0.22951164451981088
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env093_BUILT,8,0.0696671145906579,PNS,0.12247771169939137
social_1_S040_Tbnatalidad,alt_LandUse_1_Env093_BUILT,9,0.008858479434078548,PNS,0.04336694576888132
social_1_S036_Tbmortalid,alt_LandUse_1_Env093_BUILT,10,0.008921150757772781,PNS,0.04150613911623462
