cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env093_BUILT,0,0.0631878380748865,PN,0.44699161875961896
social_1_S042_Pdens,alt_LandUse_1_Env093_BUILT,1,0.6531504087435067,PN,0.7008588728422941
social_1_S007_EGR,alt_LandUse_1_Env093_BUILT,2,0.08317858714998429,PN,0.3845300088164216
social_1_S013_IME,alt_LandUse_1_Env093_BUILT,3,0.07906507549025214,PN,0.22813875784479068
social_1_S015_ODI,alt_LandUse_1_Env093_BUILT,4,0.391280393585897,PN,0.5061514921458256
Topography_Env104_MGU_litt,alt_LandUse_1_Env093_BUILT,5,0.6184442447741424,PN,0.8225130939443057
social_1_S003_MsR,alt_LandUse_1_Env093_BUILT,6,0.0030158899056202744,PN,0.042986745640508556
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env093_BUILT,7,0.24954888212011286,PN,0.3642814399708705
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env093_BUILT,8,0.1630698458384849,PN,0.28389659113429877
social_1_S040_Tbnatalidad,alt_LandUse_1_Env093_BUILT,9,0.014231377539404868,PN,0.13549214176111957
social_1_S036_Tbmortalid,alt_LandUse_1_Env093_BUILT,10,0.014420048469238712,PN,0.14368575592163252
