cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env093_BUILT,0,0.01637176397306625,PNrc,0.17475428192574374
social_1_S042_Pdens,alt_LandUse_1_Env093_BUILT,1,3.366822983413527E-8,PNrc,0.17762073750744434
social_1_S007_EGR,alt_LandUse_1_Env093_BUILT,2,0.010175632728932087,PNrc,0.20837335612628755
social_1_S013_IME,alt_LandUse_1_Env093_BUILT,3,0.024206365241159197,PNrc,0.1519536019543608
social_1_S015_ODI,alt_LandUse_1_Env093_BUILT,4,0.014592636383108877,PNrc,0.2518962713642078
Topography_Env104_MGU_litt,alt_LandUse_1_Env093_BUILT,5,0.08302328588391945,PNrc,0.5570224901344023
social_1_S003_MsR,alt_LandUse_1_Env093_BUILT,6,0.001141449161654554,PNrc,0.04511029067901983
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env093_BUILT,7,0.0359281692779263,PNrc,0.19522697490242777
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env093_BUILT,8,0.04946088860536332,PNrc,0.18915581431391215
social_1_S040_Tbnatalidad,alt_LandUse_1_Env093_BUILT,9,0.0048917391178258975,PNrc,0.06764515485975112
social_1_S036_Tbmortalid,alt_LandUse_1_Env093_BUILT,10,0.009891556057419185,PNrc,0.05638978888805262
