cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env093_BUILT,0,0.053243616307510316,PS,0.21992870807142004
social_1_S042_Pdens,alt_LandUse_1_Env093_BUILT,1,0.938607286815518,PS,0.9999584089167269
social_1_S007_EGR,alt_LandUse_1_Env093_BUILT,2,0.06259176692181911,PS,0.14057399598559278
social_1_S013_IME,alt_LandUse_1_Env093_BUILT,3,0.05277142289265968,PS,0.11690404135136832
social_1_S015_ODI,alt_LandUse_1_Env093_BUILT,4,0.36059821205242903,PS,0.5495691016527078
Topography_Env104_MGU_litt,alt_LandUse_1_Env093_BUILT,5,0.5518687815464512,PS,0.729431728286122
social_1_S003_MsR,alt_LandUse_1_Env093_BUILT,6,0.0017459463190283079,PS,0.025613340738640206
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env093_BUILT,7,0.21989995690105726,PS,0.361202630472233
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env093_BUILT,8,0.10922977138174335,PS,0.19176677919397606
social_1_S040_Tbnatalidad,alt_LandUse_1_Env093_BUILT,9,0.013502406422518388,PS,0.04350636963732078
social_1_S036_Tbmortalid,alt_LandUse_1_Env093_BUILT,10,0.014684205217149046,PS,0.03257479908217181
