cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env093_BUILT,0,0.2658334871929333,condDiff,0.2658334871929333
social_1_S042_Pdens,alt_LandUse_1_Env093_BUILT,1,0.7167296231897665,condDiff,0.7167296231897665
social_1_S007_EGR,alt_LandUse_1_Env093_BUILT,2,0.1802978003419664,condDiff,0.1802978003419664
social_1_S013_IME,alt_LandUse_1_Env093_BUILT,3,0.12708868222619396,condDiff,0.12708868222619396
social_1_S015_ODI,alt_LandUse_1_Env093_BUILT,4,0.3529567051744843,condDiff,0.3529567051744843
Topography_Env104_MGU_litt,alt_LandUse_1_Env093_BUILT,5,0.38095747594105467,condDiff,0.38095747594105467
social_1_S003_MsR,alt_LandUse_1_Env093_BUILT,6,0.08374090533155987,condDiff,0.08374090533155987
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env093_BUILT,7,0.18178151423187894,condDiff,0.18178151423187894
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env093_BUILT,8,0.05992107007412739,condDiff,0.05992107007412739
social_1_S040_Tbnatalidad,alt_LandUse_1_Env093_BUILT,9,0.21459413162763646,condDiff,0.21459413162763646
social_1_S036_Tbmortalid,alt_LandUse_1_Env093_BUILT,10,0.18704718238761542,condDiff,0.18704718238761542
