cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env095_HERBCROPS,0,0.005979527116742933,ACE,0.02705034339930834
social_1_S042_Pdens,alt_LandUse_1_Env095_HERBCROPS,1,0.14014247298128013,ACE,0.18512411652284122
social_1_S007_EGR,alt_LandUse_1_Env095_HERBCROPS,2,7.393886172091246E-4,ACE,0.017452406517582897
social_1_S013_IME,alt_LandUse_1_Env095_HERBCROPS,3,0.002321229397364233,ACE,0.009811977114823178
social_1_S015_ODI,alt_LandUse_1_Env095_HERBCROPS,4,0.04897664051190875,ACE,0.07892615065921349
Topography_Env104_MGU_litt,alt_LandUse_1_Env095_HERBCROPS,5,0.3088684531121971,ACE,0.3393406991335568
social_1_S003_MsR,alt_LandUse_1_Env095_HERBCROPS,6,3.119224656034092E-5,ACE,2.3387108654160382E-4
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env095_HERBCROPS,7,0.029545336497907027,ACE,0.04524445221601897
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env095_HERBCROPS,8,0.010177294912153856,ACE,0.017525213167325027
social_1_S040_Tbnatalidad,alt_LandUse_1_Env095_HERBCROPS,9,8.602467167686534E-4,ACE,0.00341943607744144
social_1_S036_Tbmortalid,alt_LandUse_1_Env095_HERBCROPS,10,6.755388841669374E-4,ACE,0.0030155597217745855
