cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env095_HERBCROPS,0,0.01738200970070068,PNS,0.12144699631886013
social_1_S042_Pdens,alt_LandUse_1_Env095_HERBCROPS,1,0.14557940177360384,PNS,0.42490809515840655
social_1_S007_EGR,alt_LandUse_1_Env095_HERBCROPS,2,0.017554778400626855,PNS,0.1207710046542359
social_1_S013_IME,alt_LandUse_1_Env095_HERBCROPS,3,0.01225152695371735,PNS,0.07026336743907499
social_1_S015_ODI,alt_LandUse_1_Env095_HERBCROPS,4,0.05739391153091024,PNS,0.21110347203313423
Topography_Env104_MGU_litt,alt_LandUse_1_Env095_HERBCROPS,5,0.335004638375784,PNS,0.5657988070977663
social_1_S003_MsR,alt_LandUse_1_Env095_HERBCROPS,6,3.8203483684432805E-4,PNS,0.013197611334168819
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env095_HERBCROPS,7,0.04071847430456615,PNS,0.14909432693534128
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env095_HERBCROPS,8,0.021498724047475836,PNS,0.10245639308065647
social_1_S040_Tbnatalidad,alt_LandUse_1_Env095_HERBCROPS,9,0.004367213255611344,PNS,0.02678051131807225
social_1_S036_Tbmortalid,alt_LandUse_1_Env095_HERBCROPS,10,0.00508531784180891,PNS,0.035982637540040906
