cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env095_HERBCROPS,0,0.027388929815693224,PN,0.6005738688402635
social_1_S042_Pdens,alt_LandUse_1_Env095_HERBCROPS,1,0.2206159389976054,PN,0.863237685805148
social_1_S007_EGR,alt_LandUse_1_Env095_HERBCROPS,2,0.05072238150403985,PN,0.4240329773289554
social_1_S013_IME,alt_LandUse_1_Env095_HERBCROPS,3,0.034012749675963315,PN,0.2159349522147942
social_1_S015_ODI,alt_LandUse_1_Env095_HERBCROPS,4,0.09040398435195299,PN,0.4773610095204428
Topography_Env104_MGU_litt,alt_LandUse_1_Env095_HERBCROPS,5,0.5889324678641882,PN,0.9950996347148481
social_1_S003_MsR,alt_LandUse_1_Env095_HERBCROPS,6,9.874221786939908E-4,PN,0.04684054692225552
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env095_HERBCROPS,7,0.08089897550585114,PN,0.35213793924945924
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env095_HERBCROPS,8,0.05961776094016425,PN,0.30184663110261334
social_1_S040_Tbnatalidad,alt_LandUse_1_Env095_HERBCROPS,9,0.009714318452305193,PN,0.12680466465495055
social_1_S036_Tbmortalid,alt_LandUse_1_Env095_HERBCROPS,10,0.013484588795492605,PN,0.1524590654678952
