cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env095_HERBCROPS,0,0.012874484713730467,PNrc,0.2376703453711062
social_1_S042_Pdens,alt_LandUse_1_Env095_HERBCROPS,1,0.0011270592976296062,PNrc,0.8885483152515548
social_1_S007_EGR,alt_LandUse_1_Env095_HERBCROPS,2,0.01821064498088721,PNrc,0.2169727267663898
social_1_S013_IME,alt_LandUse_1_Env095_HERBCROPS,3,0.01406759151040908,PNrc,0.18143820205551045
social_1_S015_ODI,alt_LandUse_1_Env095_HERBCROPS,4,0.016588863091379327,PNrc,0.48257811112222654
Topography_Env104_MGU_litt,alt_LandUse_1_Env095_HERBCROPS,5,0.012029827261229791,PNrc,0.9881230305273002
social_1_S003_MsR,alt_LandUse_1_Env095_HERBCROPS,6,7.207600348840674E-4,PNrc,0.03769006613945146
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env095_HERBCROPS,7,0.020832622514672897,PNrc,0.3461788289246656
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env095_HERBCROPS,8,0.025541377594138038,PNrc,0.2694468115508826
social_1_S040_Tbnatalidad,alt_LandUse_1_Env095_HERBCROPS,9,0.007343588101052444,PNrc,0.06123230573424549
social_1_S036_Tbmortalid,alt_LandUse_1_Env095_HERBCROPS,10,0.005613091022920535,PNrc,0.05447690605804792
