cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env095_HERBCROPS,0,0.018903722873464514,PS,0.13720536786626605
social_1_S042_Pdens,alt_LandUse_1_Env095_HERBCROPS,1,0.21734292005112085,PS,0.6032484375724629
social_1_S007_EGR,alt_LandUse_1_Env095_HERBCROPS,2,0.023056739150615613,PS,0.1018818798232202
social_1_S013_IME,alt_LandUse_1_Env095_HERBCROPS,3,0.01713157262662931,PS,0.08509334912456884
social_1_S015_ODI,alt_LandUse_1_Env095_HERBCROPS,4,0.09013925897050157,PS,0.3004344202872871
Topography_Env104_MGU_litt,alt_LandUse_1_Env095_HERBCROPS,5,0.4388762106613011,PS,0.739214686085731
social_1_S003_MsR,alt_LandUse_1_Env095_HERBCROPS,6,5.630737592489136E-4,PS,0.0171772071643785
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env095_HERBCROPS,7,0.06137535360220856,PS,0.22000711847276075
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env095_HERBCROPS,8,0.03199316683761598,PS,0.1503171997216976
social_1_S040_Tbnatalidad,alt_LandUse_1_Env095_HERBCROPS,9,0.006354049775475422,PS,0.028710305781145088
social_1_S036_Tbmortalid,alt_LandUse_1_Env095_HERBCROPS,10,0.004700088307578978,PS,0.02402603332324687
