cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env095_HERBCROPS,0,0.1155035057744378,condDiff,0.1155035057744378
social_1_S042_Pdens,alt_LandUse_1_Env095_HERBCROPS,1,0.18932721128410945,condDiff,0.18932721128410945
social_1_S007_EGR,alt_LandUse_1_Env095_HERBCROPS,2,0.07638929085613322,condDiff,0.07638929085613322
social_1_S013_IME,alt_LandUse_1_Env095_HERBCROPS,3,0.06898314845128728,condDiff,0.06898314845128728
social_1_S015_ODI,alt_LandUse_1_Env095_HERBCROPS,4,0.16466560027119465,condDiff,0.16466560027119465
Topography_Env104_MGU_litt,alt_LandUse_1_Env095_HERBCROPS,5,0.3200601521215546,condDiff,0.3200601521215546
social_1_S003_MsR,alt_LandUse_1_Env095_HERBCROPS,6,0.060231576830303724,condDiff,0.060231576830303724
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env095_HERBCROPS,7,0.08388400006939689,condDiff,0.08388400006939689
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env095_HERBCROPS,8,0.023498019166039497,condDiff,0.023498019166039497
social_1_S040_Tbnatalidad,alt_LandUse_1_Env095_HERBCROPS,9,0.09836282832602272,condDiff,0.09836282832602272
social_1_S036_Tbmortalid,alt_LandUse_1_Env095_HERBCROPS,10,0.08670331695154865,condDiff,0.08670331695154865
