cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env097_HETEROGENEO,0,-0.04219892755461527,ACE,-0.009176408922129786
social_1_S042_Pdens,alt_LandUse_1_Env097_HETEROGENEO,1,-0.23188307864502478,ACE,-0.2307078786711561
social_1_S007_EGR,alt_LandUse_1_Env097_HETEROGENEO,2,-0.028206969111969432,ACE,-4.930183437790447E-4
social_1_S013_IME,alt_LandUse_1_Env097_HETEROGENEO,3,-0.015787982586361327,ACE,-0.00337232708424412
social_1_S015_ODI,alt_LandUse_1_Env097_HETEROGENEO,4,-0.1175435565426115,ACE,-0.07659723687359835
Topography_Env104_MGU_litt,alt_LandUse_1_Env097_HETEROGENEO,5,-0.31815270579819566,ACE,-0.3080641464867319
social_1_S003_MsR,alt_LandUse_1_Env097_HETEROGENEO,6,-3.7502965896535345E-4,ACE,-4.089239410737244E-5
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env097_HETEROGENEO,7,-0.06223893107914691,ACE,-0.04542217874217214
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env097_HETEROGENEO,8,-0.025444081231126486,ACE,-0.015415974446408298
social_1_S040_Tbnatalidad,alt_LandUse_1_Env097_HETEROGENEO,9,-0.005445767921880562,ACE,-0.0012324368881753422
social_1_S036_Tbmortalid,alt_LandUse_1_Env097_HETEROGENEO,10,-0.004877869320043138,ACE,-9.752544671385865E-4
