cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env097_HETEROGENEO,0,0.0035677665147239466,PNS,0.032894136651754606
social_1_S042_Pdens,alt_LandUse_1_Env097_HETEROGENEO,1,2.628063694470517E-5,PNS,0.051411377542048976
social_1_S007_EGR,alt_LandUse_1_Env097_HETEROGENEO,2,0.001762629670265126,PNS,0.036954809063417804
social_1_S013_IME,alt_LandUse_1_Env097_HETEROGENEO,3,0.0030742998760621442,PNS,0.023090389005777895
social_1_S015_ODI,alt_LandUse_1_Env097_HETEROGENEO,4,0.002133146021287992,PNS,0.03432915701884018
Topography_Env104_MGU_litt,alt_LandUse_1_Env097_HETEROGENEO,5,1.5569343386088342E-5,PNS,0.023971210411723363
social_1_S003_MsR,alt_LandUse_1_Env097_HETEROGENEO,6,2.0626284933352793E-4,PNS,0.006227214121665117
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env097_HETEROGENEO,7,0.0031381284996127076,PNS,0.03720879905337429
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env097_HETEROGENEO,8,0.004236721131303052,PNS,0.02820123273098904
social_1_S040_Tbnatalidad,alt_LandUse_1_Env097_HETEROGENEO,9,0.0013104604306792193,PNS,0.013290388324255626
social_1_S036_Tbmortalid,alt_LandUse_1_Env097_HETEROGENEO,10,0.0010048143117357996,PNS,0.010989088802369108
