cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env097_HETEROGENEO,0,0.019412777889262562,PN,0.3822506627484859
social_1_S042_Pdens,alt_LandUse_1_Env097_HETEROGENEO,1,0.0010374996742632007,PN,0.9999999723044507
social_1_S007_EGR,alt_LandUse_1_Env097_HETEROGENEO,2,0.007995566925240201,PN,0.20765572418465422
social_1_S013_IME,alt_LandUse_1_Env097_HETEROGENEO,3,0.013428343317742652,PN,0.11029052319357274
social_1_S015_ODI,alt_LandUse_1_Env097_HETEROGENEO,4,0.013594154803270541,PN,0.21245829507705496
Topography_Env104_MGU_litt,alt_LandUse_1_Env097_HETEROGENEO,5,6.524910276618673E-4,PN,0.999999974169795
social_1_S003_MsR,alt_LandUse_1_Env097_HETEROGENEO,6,9.372249421770044E-4,PN,0.02807003605547538
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env097_HETEROGENEO,7,0.019269657684052456,PN,0.18439787970011662
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env097_HETEROGENEO,8,0.018187469947930412,PN,0.1182907408177725
social_1_S040_Tbnatalidad,alt_LandUse_1_Env097_HETEROGENEO,9,0.005727076647238445,PN,0.13367263724522752
social_1_S036_Tbmortalid,alt_LandUse_1_Env097_HETEROGENEO,10,0.005131598941708713,PN,0.0879110416624564
