cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env097_HETEROGENEO,0,0.048190668412564905,PNrc,0.227058383299954
social_1_S042_Pdens,alt_LandUse_1_Env097_HETEROGENEO,1,0.8189435946684354,PNrc,0.9999999975187551
social_1_S007_EGR,alt_LandUse_1_Env097_HETEROGENEO,2,0.05354564691108033,PNrc,0.1286693549274733
social_1_S013_IME,alt_LandUse_1_Env097_HETEROGENEO,3,0.04368856110586374,PNrc,0.11580312186450323
social_1_S015_ODI,alt_LandUse_1_Env097_HETEROGENEO,4,0.3085635486506179,PNrc,0.5083194945049654
Topography_Env104_MGU_litt,alt_LandUse_1_Env097_HETEROGENEO,5,0.9297909754172123,PNrc,0.9999999981985647
social_1_S003_MsR,alt_LandUse_1_Env097_HETEROGENEO,6,0.0016678890859479197,PNrc,0.02438375450466694
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env097_HETEROGENEO,7,0.19240906258030216,PNrc,0.35936134186110297
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env097_HETEROGENEO,8,0.09628410333075009,PNrc,0.19046001880761318
social_1_S040_Tbnatalidad,alt_LandUse_1_Env097_HETEROGENEO,9,0.012104945550808066,PNrc,0.042595754210731016
social_1_S036_Tbmortalid,alt_LandUse_1_Env097_HETEROGENEO,10,0.01251880285414571,PNrc,0.03323540189438606
