cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env097_HETEROGENEO,0,0.004878945693312171,PS,0.031223064051203606
social_1_S042_Pdens,alt_LandUse_1_Env097_HETEROGENEO,1,3.2465380219441355E-5,PS,0.07652656272308213
social_1_S007_EGR,alt_LandUse_1_Env097_HETEROGENEO,2,0.0025466590120517686,PS,0.03587032376078511
social_1_S013_IME,alt_LandUse_1_Env097_HETEROGENEO,3,0.004419663329410341,PS,0.030686300662526568
social_1_S015_ODI,alt_LandUse_1_Env097_HETEROGENEO,4,0.0026304084214342177,PS,0.055084954999967156
Topography_Env104_MGU_litt,alt_LandUse_1_Env097_HETEROGENEO,5,2.357706841113704E-5,PS,0.03638243728782937
social_1_S003_MsR,alt_LandUse_1_Env097_HETEROGENEO,6,2.8859656064270263E-4,PS,0.008746445346181901
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env097_HETEROGENEO,7,0.004235796536351374,PS,0.052176711891342126
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env097_HETEROGENEO,8,0.0057575831754065705,PS,0.03842784550538741
social_1_S040_Tbnatalidad,alt_LandUse_1_Env097_HETEROGENEO,9,0.0017935396770579772,PS,0.012347076881260414
social_1_S036_Tbmortalid,alt_LandUse_1_Env097_HETEROGENEO,10,0.001374405828018294,PS,0.009561256797579626
