cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env097_HETEROGENEO,0,-0.14446320236296067,condDiff,-0.14446320236296067
social_1_S042_Pdens,alt_LandUse_1_Env097_HETEROGENEO,1,-0.2552396273864119,condDiff,-0.2552396273864119
social_1_S007_EGR,alt_LandUse_1_Env097_HETEROGENEO,2,-0.077714943907252,condDiff,-0.077714943907252
social_1_S013_IME,alt_LandUse_1_Env097_HETEROGENEO,3,-0.06505538920190163,condDiff,-0.06505538920190163
social_1_S015_ODI,alt_LandUse_1_Env097_HETEROGENEO,4,-0.19500199282475106,condDiff,-0.19500199282475106
Topography_Env104_MGU_litt,alt_LandUse_1_Env097_HETEROGENEO,5,-0.30821162684983217,condDiff,-0.30821162684983217
social_1_S003_MsR,alt_LandUse_1_Env097_HETEROGENEO,6,-0.06032273554110715,condDiff,-0.06032273554110715
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env097_HETEROGENEO,7,-0.10431214642623843,condDiff,-0.10431214642623843
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env097_HETEROGENEO,8,-0.033867437273745166,condDiff,-0.033867437273745166
social_1_S040_Tbnatalidad,alt_LandUse_1_Env097_HETEROGENEO,9,-0.11322188044020443,condDiff,-0.11322188044020443
social_1_S036_Tbmortalid,alt_LandUse_1_Env097_HETEROGENEO,10,-0.09934046176954892,condDiff,-0.09934046176954892
