cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env094_INTENSIVE,0,0.003312513750993961,ACE,0.014425453775722415
social_1_S042_Pdens,alt_LandUse_1_Env094_INTENSIVE,1,0.07832160644881105,ACE,0.08433575152625232
social_1_S007_EGR,alt_LandUse_1_Env094_INTENSIVE,2,-0.001763278374264994,ACE,0.01252682795518044
social_1_S013_IME,alt_LandUse_1_Env094_INTENSIVE,3,2.5801329914483875E-4,ACE,0.006888014286710507
social_1_S015_ODI,alt_LandUse_1_Env094_INTENSIVE,4,0.026728515154453188,ACE,0.03945119275618035
Topography_Env104_MGU_litt,alt_LandUse_1_Env094_INTENSIVE,5,0.019236600194351167,ACE,0.025591075399211537
social_1_S003_MsR,alt_LandUse_1_Env094_INTENSIVE,6,-1.0791338479466256E-5,ACE,1.5813003928837055E-4
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env094_INTENSIVE,7,0.013223618048878394,ACE,0.018526387401827993
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env094_INTENSIVE,8,0.00375233759324042,ACE,0.006026092465374142
social_1_S040_Tbnatalidad,alt_LandUse_1_Env094_INTENSIVE,9,1.0304914747151506E-4,ACE,0.002188428524952178
social_1_S036_Tbmortalid,alt_LandUse_1_Env094_INTENSIVE,10,8.728942117838465E-5,ACE,0.00220915083233501
