cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env094_INTENSIVE,0,0.005946893246738429,PNS,0.02245836596551889
social_1_S042_Pdens,alt_LandUse_1_Env094_INTENSIVE,1,0.07832363693560676,PNS,0.09366987571644138
social_1_S007_EGR,alt_LandUse_1_Env094_INTENSIVE,2,0.0048459437772368635,PNS,0.019954948173140828
social_1_S013_IME,alt_LandUse_1_Env094_INTENSIVE,3,0.0043456234297710745,PNS,0.012195786066383068
social_1_S015_ODI,alt_LandUse_1_Env094_INTENSIVE,4,0.030138991039513136,PNS,0.045968400931345355
Topography_Env104_MGU_litt,alt_LandUse_1_Env094_INTENSIVE,5,0.02885367719000501,PNS,0.04333190131643423
social_1_S003_MsR,alt_LandUse_1_Env094_INTENSIVE,6,1.53753715696596E-4,PNS,0.0026396690954418062
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env094_INTENSIVE,7,0.017408939692450866,PNS,0.028007287933288265
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env094_INTENSIVE,8,0.007350720741662759,PNS,0.015797446193056973
social_1_S040_Tbnatalidad,alt_LandUse_1_Env094_INTENSIVE,9,0.0010759591692551904,PNS,0.006004815218277913
social_1_S036_Tbmortalid,alt_LandUse_1_Env094_INTENSIVE,10,0.0011258010351334815,PNS,0.0055781996070453106
