cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env094_INTENSIVE,0,0.10849120938657726,PN,0.893263124908433
social_1_S042_Pdens,alt_LandUse_1_Env094_INTENSIVE,1,0.8819233777054508,PN,0.999999999976533
social_1_S007_EGR,alt_LandUse_1_Env094_INTENSIVE,2,0.15537580615745383,PN,0.8141108553326425
social_1_S013_IME,alt_LandUse_1_Env094_INTENSIVE,3,0.15819882517851208,PN,0.506535076728331
social_1_S015_ODI,alt_LandUse_1_Env094_INTENSIVE,4,0.6917596692414356,PN,0.9084906663968304
Topography_Env104_MGU_litt,alt_LandUse_1_Env094_INTENSIVE,5,0.7164246617719632,PN,0.9999999679412842
social_1_S003_MsR,alt_LandUse_1_Env094_INTENSIVE,6,0.006505956135827416,PN,0.11125698403167067
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env094_INTENSIVE,7,0.4505790828190583,PN,0.6439392381624169
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env094_INTENSIVE,8,0.2583041170115513,PN,0.5676726776883665
social_1_S040_Tbnatalidad,alt_LandUse_1_Env094_INTENSIVE,9,0.024328721161495172,PN,0.2746144957999105
social_1_S036_Tbmortalid,alt_LandUse_1_Env094_INTENSIVE,10,0.026940018582221722,PN,0.27458957432999637
