cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env094_INTENSIVE,0,0.0507641143557126,PNrc,0.460761798746663
social_1_S042_Pdens,alt_LandUse_1_Env094_INTENSIVE,1,2.113958771361467E-5,PNrc,0.9999999998887777
social_1_S007_EGR,alt_LandUse_1_Env094_INTENSIVE,2,0.051978314650026586,PNrc,0.5487242371014543
social_1_S013_IME,alt_LandUse_1_Env094_INTENSIVE,3,0.0505350695212929,PNrc,0.3529701555989096
social_1_S015_ODI,alt_LandUse_1_Env094_INTENSIVE,4,0.020411608276351884,PNrc,0.7063803315652797
Topography_Env104_MGU_litt,alt_LandUse_1_Env094_INTENSIVE,5,0.3562367709119703,PNrc,0.999999926334367
social_1_S003_MsR,alt_LandUse_1_Env094_INTENSIVE,6,0.0026645151705938248,PNrc,0.10299193436925067
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env094_INTENSIVE,7,0.09626684041312233,PNrc,0.47451535102508163
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env094_INTENSIVE,8,0.09287287317012888,PNrc,0.46717176707095165
social_1_S040_Tbnatalidad,alt_LandUse_1_Env094_INTENSIVE,9,0.01566207602808368,PNrc,0.1669016838935636
social_1_S036_Tbmortalid,alt_LandUse_1_Env094_INTENSIVE,10,0.024707619158689326,PNrc,0.14262370215073078
