cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env094_INTENSIVE,0,0.004585320967184132,PS,0.018272646372936786
social_1_S042_Pdens,alt_LandUse_1_Env094_INTENSIVE,1,0.0786172052541651,PS,0.09456373048253972
social_1_S007_EGR,alt_LandUse_1_Env094_INTENSIVE,2,0.005411623321930029,PS,0.012599502251755027
social_1_S013_IME,alt_LandUse_1_Env094_INTENSIVE,3,0.004209937871524788,PS,0.010358808760773101
social_1_S015_ODI,alt_LandUse_1_Env094_INTENSIVE,4,0.029506242497100342,PS,0.04547472887706459
Topography_Env104_MGU_litt,alt_LandUse_1_Env094_INTENSIVE,5,0.029374809490358707,PS,0.0441145660416203
social_1_S003_MsR,alt_LandUse_1_Env094_INTENSIVE,6,1.4678830844766052E-4,PS,0.0024422907486751897
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env094_INTENSIVE,7,0.017836265162166808,PS,0.028769040731441913
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env094_INTENSIVE,8,0.0075580452980042985,PS,0.01608154884675761
social_1_S040_Tbnatalidad,alt_LandUse_1_Env094_INTENSIVE,9,0.0011289414904455885,PS,0.003930723775877787
social_1_S036_Tbmortalid,alt_LandUse_1_Env094_INTENSIVE,10,0.0012641833596522413,PS,0.0031010377322093653
