cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env094_INTENSIVE,0,0.02576644947942284,condDiff,0.02576644947942284
social_1_S042_Pdens,alt_LandUse_1_Env094_INTENSIVE,1,0.08180553246486907,condDiff,0.08180553246486907
social_1_S007_EGR,alt_LandUse_1_Env094_INTENSIVE,2,0.017683919218049834,condDiff,0.017683919218049834
social_1_S013_IME,alt_LandUse_1_Env094_INTENSIVE,3,0.01128573834387031,condDiff,0.01128573834387031
social_1_S015_ODI,alt_LandUse_1_Env094_INTENSIVE,4,0.03288461823495722,condDiff,0.03288461823495722
Topography_Env104_MGU_litt,alt_LandUse_1_Env094_INTENSIVE,5,0.021073936916050254,condDiff,0.021073936916050254
social_1_S003_MsR,alt_LandUse_1_Env094_INTENSIVE,6,0.005715137951617998,condDiff,0.005715137951617998
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env094_INTENSIVE,7,0.016692882424549055,condDiff,0.016692882424549055
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env094_INTENSIVE,8,0.005123442479646908,condDiff,0.005123442479646908
social_1_S040_Tbnatalidad,alt_LandUse_1_Env094_INTENSIVE,9,0.020225178657764586,condDiff,0.020225178657764586
social_1_S036_Tbmortalid,alt_LandUse_1_Env094_INTENSIVE,10,0.017551965076248177,condDiff,0.017551965076248177
