cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env098_Natural,0,-0.034130207606419716,ACE,-0.006997246667902801
social_1_S042_Pdens,alt_LandUse_1_Env098_Natural,1,-0.20690591069114062,ACE,-0.13203586872439788
social_1_S007_EGR,alt_LandUse_1_Env098_Natural,2,-0.018274296496726183,ACE,-0.003965404274272055
social_1_S013_IME,alt_LandUse_1_Env098_Natural,3,-0.01060565891786247,ACE,-0.004072465295916872
social_1_S015_ODI,alt_LandUse_1_Env098_Natural,4,-0.09644145184805497,ACE,-0.04820668766190417
Topography_Env104_MGU_litt,alt_LandUse_1_Env098_Natural,5,-0.5658923565012349,ACE,-0.5391852435569069
social_1_S003_MsR,alt_LandUse_1_Env098_Natural,6,-2.588270467078768E-4,ACE,-7.503696183563946E-5
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env098_Natural,7,-0.05712615061490911,ACE,-0.030406423121596804
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env098_Natural,8,-0.026066266881332956,ACE,-0.013135781490194565
social_1_S040_Tbnatalidad,alt_LandUse_1_Env098_Natural,9,-0.00396131362502572,ACE,-0.0014295223026539183
social_1_S036_Tbmortalid,alt_LandUse_1_Env098_Natural,10,-0.0032279520064898426,ACE,-0.0012135739491428987
