cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env098_Natural,0,0.0077934528072189525,PNS,0.09501360902278766
social_1_S042_Pdens,alt_LandUse_1_Env098_Natural,1,0.03174912220166553,PNS,0.2018103029475737
social_1_S007_EGR,alt_LandUse_1_Env098_Natural,2,0.006382648700880483,PNS,0.0851314882204791
social_1_S013_IME,alt_LandUse_1_Env098_Natural,3,0.0067263088508382595,PNS,0.05429937279223229
social_1_S015_ODI,alt_LandUse_1_Env098_Natural,4,0.017062032543928143,PNS,0.10896590909593407
Topography_Env104_MGU_litt,alt_LandUse_1_Env098_Natural,5,8.361970573113637E-5,PNS,0.15821047949909994
social_1_S003_MsR,alt_LandUse_1_Env098_Natural,6,2.7748098179775446E-4,PNS,0.014509403188135197
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env098_Natural,7,0.013649939051941815,PNS,0.07468188620860344
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env098_Natural,8,0.0086025720521593,PNS,0.06621453494793478
social_1_S040_Tbnatalidad,alt_LandUse_1_Env098_Natural,9,0.002155614041354441,PNS,0.026616570716701336
social_1_S036_Tbmortalid,alt_LandUse_1_Env098_Natural,10,0.002966363626842064,PNS,0.027141541599405544
