cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env098_Natural,0,0.01738185107535359,PN,0.3257087401256971
social_1_S042_Pdens,alt_LandUse_1_Env098_Natural,1,0.11074891041305424,PN,0.5517713338115874
social_1_S007_EGR,alt_LandUse_1_Env098_Natural,2,0.010066532718848347,PN,0.17300325022412938
social_1_S013_IME,alt_LandUse_1_Env098_Natural,3,0.011382924222526911,PN,0.09970573800193822
social_1_S015_ODI,alt_LandUse_1_Env098_Natural,4,0.06143282874938037,PN,0.2785988198613918
Topography_Env104_MGU_litt,alt_LandUse_1_Env098_Natural,5,3.1297327872845267E-4,PN,0.603309391993545
social_1_S003_MsR,alt_LandUse_1_Env098_Natural,6,4.7922341027219364E-4,PN,0.028475060334429956
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env098_Natural,7,0.03004413564320011,PN,0.15168294229098375
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env098_Natural,8,0.013611198508334895,PN,0.1080336141371481
social_1_S040_Tbnatalidad,alt_LandUse_1_Env098_Natural,9,0.002924936341033893,PN,0.09554469875250199
social_1_S036_Tbmortalid,alt_LandUse_1_Env098_Natural,10,0.005068974269532784,PN,0.0731438654405362
