cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env098_Natural,0,0.021247102027840623,PNrc,0.11640562391409612
social_1_S042_Pdens,alt_LandUse_1_Env098_Natural,1,0.2550377003258581,PNrc,0.5891523787390638
social_1_S007_EGR,alt_LandUse_1_Env098_Natural,2,0.02349879273390315,PNrc,0.09214304847071768
social_1_S013_IME,alt_LandUse_1_Env098_Natural,3,0.018400970403555927,PNrc,0.0702791469227666
social_1_S015_ODI,alt_LandUse_1_Env098_Natural,4,0.10579446979259413,PNrc,0.27347913867423435
Topography_Env104_MGU_litt,alt_LandUse_1_Env098_Natural,5,0.6721497962153551,PNrc,0.8733022488943419
social_1_S003_MsR,alt_LandUse_1_Env098_Natural,6,6.17506538035034E-4,PNrc,0.019488432793363767
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env098_Natural,7,0.06499113639186994,PNrc,0.1920131850445205
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env098_Natural,8,0.04039424641037999,PNrc,0.12994804289654194
social_1_S040_Tbnatalidad,alt_LandUse_1_Env098_Natural,9,0.005626066694895491,PNrc,0.02435414862339565
social_1_S036_Tbmortalid,alt_LandUse_1_Env098_Natural,10,0.005067965497374308,PNrc,0.01968165170567324
