cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env098_Natural,0,0.023719278090542976,PS,0.20572552199107214
social_1_S042_Pdens,alt_LandUse_1_Env098_Natural,1,0.09405921971934651,PS,0.6645066175366966
social_1_S007_EGR,alt_LandUse_1_Env098_Natural,2,0.024748449961321257,PS,0.20418583153410888
social_1_S013_IME,alt_LandUse_1_Env098_Natural,3,0.022475514180140675,PS,0.15263465221349196
social_1_S015_ODI,alt_LandUse_1_Env098_Natural,4,0.044530898326845744,PS,0.38329218542581517
Topography_Env104_MGU_litt,alt_LandUse_1_Env098_Natural,5,4.512312558061652E-4,PS,0.8841844117454903
social_1_S003_MsR,alt_LandUse_1_Env098_Natural,6,9.199103641655751E-4,PS,0.04409281984163955
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env098_Natural,7,0.04229883695648605,PS,0.2339084497194396
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env098_Natural,8,0.026195530130923354,PS,0.20154528965381763
social_1_S040_Tbnatalidad,alt_LandUse_1_Env098_Natural,9,0.007667934222614735,PS,0.0502460257958626
social_1_S036_Tbmortalid,alt_LandUse_1_Env098_Natural,10,0.006475513869042721,PS,0.04405661694277197
