cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env096_WoodCrops,0,-0.007449933040710732,ACE,0.0025755268301448364
social_1_S042_Pdens,alt_LandUse_1_Env096_WoodCrops,1,-0.02417597909432101,ACE,0.015721191663702783
social_1_S007_EGR,alt_LandUse_1_Env096_WoodCrops,2,-0.011004596119638888,ACE,0.0071058628320310735
social_1_S013_IME,alt_LandUse_1_Env096_WoodCrops,3,-0.00576995237015554,ACE,0.0032952818607914214
social_1_S015_ODI,alt_LandUse_1_Env096_WoodCrops,4,-0.010955661637250702,ACE,0.006099090343117619
Topography_Env104_MGU_litt,alt_LandUse_1_Env096_WoodCrops,5,0.16163591895947949,ACE,0.19049735628815134
social_1_S003_MsR,alt_LandUse_1_Env096_WoodCrops,6,-1.1758303180908758E-4,ACE,8.526714934409263E-5
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env096_WoodCrops,7,4.350053034660739E-4,ACE,0.015105270033178742
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env096_WoodCrops,8,0.003014384372884704,ACE,0.011213820855172418
social_1_S040_Tbnatalidad,alt_LandUse_1_Env096_WoodCrops,9,-0.0013464963759255433,ACE,0.0012228702017405002
social_1_S036_Tbmortalid,alt_LandUse_1_Env096_WoodCrops,10,-0.0016271383532138195,ACE,0.0010151814967526152
