cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env096_WoodCrops,0,0.009077635922499024,PNS,0.15030261942614542
social_1_S042_Pdens,alt_LandUse_1_Env096_WoodCrops,1,0.07781950382551128,PNS,0.45409564161541044
social_1_S007_EGR,alt_LandUse_1_Env096_WoodCrops,2,0.009390454901772824,PNS,0.12429449265372154
social_1_S013_IME,alt_LandUse_1_Env096_WoodCrops,3,0.006704505414660665,PNS,0.07582032584938661
social_1_S015_ODI,alt_LandUse_1_Env096_WoodCrops,4,0.034108333171729725,PNS,0.20857114428992915
Topography_Env104_MGU_litt,alt_LandUse_1_Env096_WoodCrops,5,0.1985022615693959,PNS,0.46141058669693313
social_1_S003_MsR,alt_LandUse_1_Env096_WoodCrops,6,5.744331174631701E-4,PNS,0.01455032140750008
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env096_WoodCrops,7,0.025742308928622084,PNS,0.1670860219884388
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env096_WoodCrops,8,0.015471073175172264,PNS,0.10826560383419054
social_1_S040_Tbnatalidad,alt_LandUse_1_Env096_WoodCrops,9,0.0028750928071194226,PNS,0.03692604810996802
social_1_S036_Tbmortalid,alt_LandUse_1_Env096_WoodCrops,10,0.0031623501447678544,PNS,0.03705461815136547
