cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env096_WoodCrops,0,0.019229633381346114,PN,0.47615720026648245
social_1_S042_Pdens,alt_LandUse_1_Env096_WoodCrops,1,0.10766700110540663,PN,0.7512159224162671
social_1_S007_EGR,alt_LandUse_1_Env096_WoodCrops,2,0.018661742630761903,PN,0.2851380326584838
social_1_S013_IME,alt_LandUse_1_Env096_WoodCrops,3,0.012808306731743428,PN,0.1540581884385699
social_1_S015_ODI,alt_LandUse_1_Env096_WoodCrops,4,0.04495019159868735,PN,0.3203668677778828
Topography_Env104_MGU_litt,alt_LandUse_1_Env096_WoodCrops,5,0.2982813145542579,PN,0.6926983177476936
social_1_S003_MsR,alt_LandUse_1_Env096_WoodCrops,6,0.0012375742627993775,PN,0.029045553775092152
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env096_WoodCrops,7,0.04174832344214763,PN,0.2772962686602884
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env096_WoodCrops,8,0.027812475573967706,PN,0.199249097717797
social_1_S040_Tbnatalidad,alt_LandUse_1_Env096_WoodCrops,9,0.006184325395905722,PN,0.11747282761488446
social_1_S036_Tbmortalid,alt_LandUse_1_Env096_WoodCrops,10,0.0071972719716440195,PN,0.11748882417708231
