cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env096_WoodCrops,0,0.014170346140951817,PNrc,0.15662403938957034
social_1_S042_Pdens,alt_LandUse_1_Env096_WoodCrops,1,0.11570237196409036,PNrc,0.8197661691043436
social_1_S007_EGR,alt_LandUse_1_Env096_WoodCrops,2,0.014178081310750632,PNrc,0.15564992626015905
social_1_S013_IME,alt_LandUse_1_Env096_WoodCrops,3,0.011007130754157114,PNrc,0.12130384562377701
social_1_S015_ODI,alt_LandUse_1_Env096_WoodCrops,4,0.04088601374463888,PNrc,0.38848047128126323
Topography_Env104_MGU_litt,alt_LandUse_1_Env096_WoodCrops,5,0.039818252618212265,PNrc,0.578437320192547
social_1_S003_MsR,alt_LandUse_1_Env096_WoodCrops,6,9.592141265666896E-4,PNrc,0.0263327446803363
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env096_WoodCrops,7,0.02693592559503269,PNrc,0.2985238000883475
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env096_WoodCrops,8,0.01607741885529472,PNrc,0.19347899853982448
social_1_S040_Tbnatalidad,alt_LandUse_1_Env096_WoodCrops,9,0.004347248301040758,PNrc,0.044459248860964126
social_1_S036_Tbmortalid,alt_LandUse_1_Env096_WoodCrops,10,0.00364203139699619,PNrc,0.032658990454747606
