cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env096_WoodCrops,0,0.016333260384772706,PS,0.1865229966240027
social_1_S042_Pdens,alt_LandUse_1_Env096_WoodCrops,1,0.17636543388260503,PS,0.9996789851198302
social_1_S007_EGR,alt_LandUse_1_Env096_WoodCrops,2,0.01703930970743307,PS,0.16777915651785116
social_1_S013_IME,alt_LandUse_1_Env096_WoodCrops,3,0.012889322505359324,PS,0.12958440426176152
social_1_S015_ODI,alt_LandUse_1_Env096_WoodCrops,4,0.07845304860130116,PS,0.45342193770908673
Topography_Env104_MGU_litt,alt_LandUse_1_Env096_WoodCrops,5,0.38645439237044643,PS,0.8969246097273235
social_1_S003_MsR,alt_LandUse_1_Env096_WoodCrops,6,0.0010322930085892954,PS,0.029163608080682142
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env096_WoodCrops,7,0.05552756478729121,PS,0.35924724677057746
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env096_WoodCrops,8,0.03321954738106907,PS,0.23143398373234375
social_1_S040_Tbnatalidad,alt_LandUse_1_Env096_WoodCrops,9,0.005368781701683197,PS,0.05009405085702871
social_1_S036_Tbmortalid,alt_LandUse_1_Env096_WoodCrops,10,0.0046595586110778995,PS,0.03586537179760776
