cause,effect,label,lb,metric,ub
social_1_Ec001_ActR,alt_LandUse_1_Env096_WoodCrops,0,0.03129818571223508,condDiff,0.03129818571223508
social_1_S042_Pdens,alt_LandUse_1_Env096_WoodCrops,1,-0.027222869584292098,condDiff,-0.027222869584292098
social_1_S007_EGR,alt_LandUse_1_Env096_WoodCrops,2,0.023766447753945208,condDiff,0.023766447753945208
social_1_S013_IME,alt_LandUse_1_Env096_WoodCrops,3,0.03023570223412886,condDiff,0.03023570223412886
social_1_S015_ODI,alt_LandUse_1_Env096_WoodCrops,4,0.04896073788345723,condDiff,0.04896073788345723
Topography_Env104_MGU_litt,alt_LandUse_1_Env096_WoodCrops,5,0.1734419395552348,condDiff,0.1734419395552348
social_1_S003_MsR,alt_LandUse_1_Env096_WoodCrops,6,0.03105366297483647,condDiff,0.03105366297483647
altEconomyClass_1_Ec109_OcuTradBankServHab,alt_LandUse_1_Env096_WoodCrops,7,0.02653338816645434,condDiff,0.02653338816645434
altEconomyClass_1_Ec096_OcuSecunHab,alt_LandUse_1_Env096_WoodCrops,8,0.009579039133373213,condDiff,0.009579039133373213
social_1_S040_Tbnatalidad,alt_LandUse_1_Env096_WoodCrops,9,0.03021619473671555,condDiff,0.03021619473671555
social_1_S036_Tbmortalid,alt_LandUse_1_Env096_WoodCrops,10,0.02673226643841986,condDiff,0.02673226643841986
